Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_100p_10c_iter15.dat;600;50;Limite_300s;ok/optimal;2725,0;0,0;0,35
bateria_pruebas\run_100p_10c_iter16.dat;600;50;Limite_20s;ok/optimal;570,0021746221591;0,0;0,33
bateria_pruebas\run_100p_10c_iter16.dat;600;50;Limite_60s;ok/optimal;570,0021746221591;0,0;0,32
bateria_pruebas\run_100p_10c_iter16.dat;600;50;Limite_300s;ok/optimal;570,0021746221591;0,0;0,32
bateria_pruebas\run_100p_10c_iter17.dat;600;50;Limite_20s;ok/optimal;3162,0;0,0;0,19
bateria_pruebas\run_100p_10c_iter17.dat;600;50;Limite_60s;ok/optimal;3162,0;0,0;0,19
bateria_pruebas\run_100p_10c_iter17.dat;600;50;Limite_300s;ok/optimal;3162,0;0,0;0,19
bateria_pruebas\run_100p_10c_iter18.dat;600;50;Limite_20s;ok/optimal;79,0043492443192;0,0;1,19
bateria_pruebas\run_100p_10c_iter18.dat;600;50;Limite_60s;ok/optimal;79,0043492443192;0,0;1,19
bateria_pruebas\run_100p_10c_iter18.dat;600;50;Limite_300s;ok/optimal;79,0043492443192;0,0;1,19
bateria_pruebas\run_100p_10c_iter19.dat;600;50;Limite_20s;ok/optimal;1067,0021746221591;0,0;0,5
bateria_pruebas\run_100p_10c_iter19.dat;600;50;Limite_60s;ok/optimal;1067,0021746221591;0,0;0,51
bateria_pruebas\run_100p_10c_iter19.dat;600;50;Limite_300s;ok/optimal;1067,0021746221591;0,0;0,51
bateria_pruebas\run_100p_10c_iter20.dat;600;50;Limite_20s;ok/optimal;1830,0;0,0;0,44
bateria_pruebas\run_100p_10c_iter20.dat;600;50;Limite_60s;ok/optimal;1830,0;0,0;0,44
bateria_pruebas\run_100p_10c_iter20.dat;600;50;Limite_300s;ok/optimal;1830,0;0,0;0,44
bateria_pruebas\run_100p_10c_iter21.dat;600;50;Limite_20s;ok/optimal;792,0065238664783;0,0;0,75
bateria_pruebas\run_100p_10c_iter21.dat;600;50;Limite_60s;ok/optimal;792,0065238664783;0,0;0,74
bateria_pruebas\run_100p_10c_iter21.dat;600;50;Limite_300s;ok/optimal;792,0065238664783;0,0;0,74
bateria_pruebas\run_100p_10c_iter22.dat;600;50;Limite_20s;ok/optimal;1392,0021746221591;0,0;0,3
bateria_pruebas\run_100p_10c_iter22.dat;600;50;Limite_60s;ok/optimal;1392,0021746221591;0,0;0,3
bateria_pruebas\run_100p_10c_iter22.dat;600;50;Limite_300s;ok/optimal;1392,0021746221591;0,0;0,3
bateria_pruebas\run_100p_10c_iter23.dat;600;50;Limite_20s;ok/optimal;4312,0;0,0;0,27
bateria_pruebas\run_100p_10c_iter23.dat;600;50;Limite_60s;ok/optimal;4312,0;0,0;0,27
bateria_pruebas\run_100p_10c_iter23.dat;600;50;Limite_300s;ok/optimal;4312,0;0,0;0,28
bateria_pruebas\run_100p_10c_iter24.dat;600;50;Limite_20s;ok/optimal;688,5021746221591;0,0;0,29
bateria_pruebas\run_100p_10c_iter24.dat;600;50;Limite_60s;ok/optimal;688,5021746221591;0,0;0,28
bateria_pruebas\run_100p_10c_iter24.dat;600;50;Limite_300s;ok/optimal;688,5021746221591;0,0;0,28
bateria_pruebas\run_100p_10c_iter25.dat;600;50;Limite_20s;ok/optimal;2452,502174622159;0,0;0,3
bateria_pruebas\run_100p_10c_iter25.dat;600;50;Limite_60s;ok/optimal;2452,502174622159;0,0;0,3
bateria_pruebas\run_100p_10c_iter25.dat;600;50;Limite_300s;ok/optimal;2452,502174622159;0,0;0,29
bateria_pruebas\run_100p_10c_iter26.dat;600;50;Limite_20s;ok/optimal;497,5;0,0;0,24
bateria_pruebas\run_100p_10c_iter26.dat;600;50;Limite_60s;ok/optimal;497,5;0,0;0,24
bateria_pruebas\run_100p_10c_iter26.dat;600;50;Limite_300s;ok/optimal;497,5;0,0;0,24
bateria_pruebas\run_100p_10c_iter27.dat;600;50;Limite_20s;ok/optimal;2134,5;0,0;0,25
bateria_pruebas\run_100p_10c_iter27.dat;600;50;Limite_60s;ok/optimal;2134,5;0,0;0,26
bateria_pruebas\run_100p_10c_iter27.dat;600;50;Limite_300s;ok/optimal;2134,5;0,0;0,25
bateria_pruebas\run_100p_10c_iter28.dat;600;50;Limite_20s;ok/optimal;1067,0;0,0;1,2
bateria_pruebas\run_100p_10c_iter28.dat;600;50;Limite_60s;ok/optimal;1067,0;0,0;1,21
bateria_pruebas\run_100p_10c_iter28.dat;600;50;Limite_300s;ok/optimal;1067,0;0,0;1,19
bateria_pruebas\run_100p_10c_iter29.dat;600;50;Limite_20s;ok/optimal;445,5;0,0;0,22
bateria_pruebas\run_100p_10c_iter29.dat;600;50;Limite_60s;ok/optimal;445,5;0,0;0,22
bateria_pruebas\run_100p_10c_iter29.dat;600;50;Limite_300s;ok/optimal;445,5;0,0;0,22
bateria_pruebas\run_100p_10c_iter30.dat;600;50;Limite_20s;ok/optimal;-377,9956507556808;0,0;0,66
bateria_pruebas\run_100p_10c_iter30.dat;600;50;Limite_60s;ok/optimal;-377,9956507556808;0,0;0,67
bateria_pruebas\run_100p_10c_iter30.dat;600;50;Limite_300s;ok/optimal;-377,9956507556808;0,0;0,65
bateria_pruebas\run_40p_05c_iter01.dat;600;50;Limite_20s;ok/optimal;1950,5;0,0;0,26
bateria_pruebas\run_40p_05c_iter01.dat;600;50;Limite_60s;ok/optimal;1950,5;0,0;0,27
