Archivo;Pedidos;Camiones;Config;Estado;Objetivo;Gap;Tiempo
bateria_pruebas\run_200p_normal_iter02.dat;1200;75;Limite_20s;aborted/maxTimeLimit;11417,0;0,044286;20,1
bateria_pruebas\run_200p_normal_iter02.dat;1200;75;Limite_60s;ok/optimal;11417,0;0,0;27,8
bateria_pruebas\run_200p_normal_iter02.dat;1200;75;Limite_300s;ok/optimal;11417,0;0,0;27,8
bateria_pruebas\run_200p_normal_iter03.dat;1200;75;Limite_20s;aborted/maxTimeLimit;7953,5;0,47717;19,9
bateria_pruebas\run_200p_normal_iter03.dat;1200;75;Limite_60s;aborted/maxTimeLimit;6798,5;0,064935;59,92
bateria_pruebas\run_200p_normal_iter03.dat;1200;75;Limite_300s;aborted/maxTimeLimit;6675,502174622159;0,01868;299,98
bateria_pruebas\run_200p_normal_iter04.dat;1200;75;Limite_20s;aborted/maxTimeLimit;7340,5;0,179005;19,92
bateria_pruebas\run_200p_normal_iter04.dat;1200;75;Limite_60s;ok/optimal;7340,5;0,0;52,59
bateria_pruebas\run_200p_normal_iter04.dat;1200;75;Limite_300s;ok/optimal;7340,5;0,0;52,59
bateria_pruebas\run_200p_normal_iter05.dat;1200;75;Limite_20s;aborted/maxTimeLimit;11804,5;0,294758;20,04
bateria_pruebas\run_200p_normal_iter05.dat;1200;75;Limite_60s;aborted/maxTimeLimit;11415,5;0,023095;60,04
bateria_pruebas\run_200p_normal_iter05.dat;1200;75;Limite_300s;aborted/maxTimeLimit;11364,00217462216;0,018668;300,09
bateria_pruebas\run_200p_normal_iter06.dat;1200;75;Limite_20s;aborted/maxTimeLimit;10057,5;0,373087;19,92
bateria_pruebas\run_200p_normal_iter06.dat;1200;75;Limite_60s;aborted/maxTimeLimit;9726,5;0,287878;59,95
bateria_pruebas\run_200p_normal_iter06.dat;1200;75;Limite_300s;aborted/maxTimeLimit;9726,5;0,241942;299,97
bateria_pruebas\run_200p_normal_iter07.dat;1200;75;Limite_20s;aborted/maxTimeLimit;8460,50217462216;0,461273;19,92
bateria_pruebas\run_200p_normal_iter07.dat;1200;75;Limite_60s;aborted/maxTimeLimit;6365,0;0,262115;59,93
bateria_pruebas\run_200p_normal_iter07.dat;1200;75;Limite_300s;ok/optimal;6365,0;0,0;62,34
bateria_pruebas\run_200p_normal_iter08.dat;1200;75;Limite_20s;aborted/maxTimeLimit;10524,5;0,35469;20,04
bateria_pruebas\run_200p_normal_iter08.dat;1200;75;Limite_60s;aborted/maxTimeLimit;8593,0;0,032121;59,96
bateria_pruebas\run_200p_normal_iter08.dat;1200;75;Limite_300s;aborted/maxTimeLimit;8593,0;0,030284;300,02
